Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guadeloupe,Americas,152516,38117.184,2561,640.052,0,945,236.177,1,0.25,0
Brunei Darussalam,Western Pacific,143866,32885.236,1554,355.217,250,159,36.345,1,0.229,0
Cambodia,Western Pacific,136262,815.015,3,0.018,0,3056,18.279,0,0,0
Jamaica,Americas,131704,4447.706,1108,37.418,160,2991,101.007,19,0.642,4
Rwanda,Africa,129898,1002.902,49,0.378,0,1459,11.264,0,0,0
Cameroon,Africa,119780,451.219,0,0,0,1927,7.259,0,0,0
Angola,Africa,99287,302.094,0,0,0,1900,5.781,0,0,0
Malta,Europe,93354,18142.35,879,170.824,205,713,138.564,5,0.972,0
Democratic Republic of the Congo,Africa,86860,96.984,0,0,0,1337,1.493,0,0,0
Senegal,Africa,86029,513.792,17,0.102,6,1966,11.742,0,0,0
Malawi,Africa,85842,448.731,45,0.235,0,2635,13.774,1,0.005,0
Côte d’Ivoire,Africa,81985,310.805,17,0.064,2,799,3.029,0,0,0
French Guiana,Americas,81784,27381.63,925,309.694,925,397,132.917,2,0.67,2
Suriname,Americas,80008,13638.533,615,104.836,0,1337,227.911,9,1.534,0
Barbados,Americas,74967,26086.82,3219,1120.139,513,430,149.63,29,10.091,0
French Polynesia,Western Pacific,72821,25923.434,45,16.019,0,649,231.036,1,0.356,0
Eswatini,Africa,71480,6161.198,516,44.476,0,1402,120.845,3,0.259,0
Fiji,Western Pacific,64725,7220.186,26,2.9,0,862,96.158,0,0,0
Madagascar,Africa,64236,231.974,55,0.199,0,1393,5.031,2,0.007,0
Guyana,Americas,63684,8096.604,166,21.105,56,1228,156.124,0,0,0
Sudan,Eastern Mediterranean,62161,141.761,21,0.048,0,4936,11.257,3,0.007,0
New Caledonia,Western Pacific,61185,21430.973,300,105.08,0,312,109.283,0,0,0
Bhutan,South-East Asia,59564,7719.464,114,14.774,12,21,2.722,0,0,0
Mauritania,Africa,58805,1264.717,98,2.108,18,982,21.12,0,0,0
Belize,Americas,57787,14532.93,226,56.837,58,676,170.008,0,0,0
Cabo Verde,Africa,56093,10088.905,47,8.453,0,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55865,319.217,28,0.16,0,3150,17.999,0,0,0
Jersey,Europe,50033,46414.524,0,0,0,127,117.815,0,0,0
Gabon,Africa,47608,2138.98,6,0.27,0,304,13.658,0,0,0
Papua New Guinea,Western Pacific,43876,490.398,49,0.548,33,651,7.276,0,0,0
Seychelles,Africa,43387,44116.241,389,395.538,80,167,169.807,1,1.017,1
Curaçao,Americas,42674,26005.984,344,209.637,0,275,167.588,1,0.609,0
Andorra,Europe,42156,54560.28,439,568.174,439,153,198.02,0,0,0
Burundi,Africa,41235,346.781,436,3.667,0,15,0.126,0,0,0
Guam,Western Pacific,40723,24128.574,36,21.33,0,358,212.117,3,1.778,0
Mayotte,Africa,37363,13695.361,0,0,0,187,68.545,0,0,0
Togo,Africa,37017,447.134,21,0.254,4,273,3.298,0,0,0
Guinea,Africa,36597,278.669,0,0,0,442,3.366,0,0,0
Aruba,Americas,35334,33094.805,369,345.616,0,212,198.565,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
United Republic of Tanzania,Africa,33928,56.798,24,0.04,0,803,1.344,0,0,0
Bahamas,Americas,33803,8595.935,202,51.368,0,798,202.927,0,0,0
Lesotho,Africa,33151,1547.486,0,0,0,697,32.536,0,0,0
Isle of Man,Europe,32600,38338.508,176,206.981,0,104,122.307,0,0,0
Mali,Africa,30978,152.971,90,0.444,18,733,3.62,1,0.005,0
Haiti,Americas,30713,269.353,6,0.053,0,835,7.323,0,0,0
Benin,Africa,26610,219.497,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26485,166.643,0,0,0,1361,8.563,0,0,0
Guernsey,Europe,25042,38844.078,210,325.743,0,46,71.353,1,1.551,0
Congo,Africa,24041,435.676,0,0,0,385,6.977,0,0,0
Saint Lucia,Americas,23978,13057.993,440,239.616,107,368,200.406,0,0,0
Cayman Islands,Americas,23578,35876.446,750,1141.205,750,28,42.605,1,1.522,0
Timor-Leste,South-East Asia,22888,1735.984,4,0.303,0,130,9.86,0,0,0
Burkina Faso,Africa,20899,99.98,34,0.163,0,384,1.837,1,0.005,0
Solomon Islands,Western Pacific,18174,2645.862,1733,252.299,0,146,21.255,3,0.437,0
Gibraltar,Europe,17996,53414.859,161,477.872,0,102,302.751,0,0,0
United States Virgin Islands,Americas,17835,17079.243,917,878.142,163,113,108.212,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17522,156.534,30,0.268,0,138,1.233,0,0,0
Liechtenstein,Europe,17271,44573.773,40,103.234,0,83,214.21,0,0,0
San Marino,Europe,16823,49569.804,198,583.417,0,115,338.853,0,0,0
Grenada,Americas,16191,14389.058,1053,935.809,177,221,196.404,1,0.889,0
Equatorial Guinea,Africa,15910,1134.011,0,0,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15631,1582.085,0,0,0,189,19.13,0,0,0
Nicaragua,Americas,14447,218.083,25,0.377,0,236,3.563,1,0.015,0
Central African Republic,Africa,14358,297.281,0,0,0,113,2.34,0,0,0
Bermuda,Americas,14135,22698.441,303,486.567,263,135,216.787,1,1.606,0
Dominica,Americas,12685,17620.258,524,727.869,0,63,87.511,0,0,0
Monaco,Europe,12000,30577.923,102,259.912,28,57,145.245,0,0,0
Gambia,Africa,11999,496.51,3,0.124,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11819,39.627,0,0,0,2149,7.205,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11305,19641.399,24,41.698,0,34,59.072,0,0,0
Samoa,Western Pacific,11045,5566.643,835,420.837,0,23,11.592,3,1.512,0
Tonga,Western Pacific,10950,10359.998,246,232.745,0,11,10.407,0,0,0
Saint Martin,Americas,10487,27126.93,69,178.484,0,44,113.816,0,0,0
Sint Maarten,Americas,10123,23606.641,58,135.255,0,86,200.55,0,0,0
Eritrea,Africa,9738,274.587,1,0.028,0,103,2.904,0,0,0
Niger,Africa,9013,37.234,56,0.231,3,310,1.281,1,0.004,0
Saint Vincent and the Grenadines,Americas,8494,7656.391,55,49.576,10,106,95.547,0,0,0
Bonaire,Americas,8444,40372.938,88,420.751,0,30,143.438,1,4.781,0
Guinea-Bissau,Africa,8216,417.479,3,0.152,0,171,8.689,0,0,0
Vanuatu,Western Pacific,8201,2670.074,495,161.162,50,14,4.558,0,0,0
Comoros,Africa,8108,932.382,1,0.115,0,160,18.399,0,0,0
Antigua and Barbuda,Americas,7721,7884.284,58,59.227,58,137,139.897,0,0,0
Sierra Leone,Africa,7682,96.302,1,0.013,0,125,1.567,0,0,0
Liberia,Africa,7451,147.32,6,0.119,0,294,5.813,0,0,0
Chad,Africa,7414,45.136,2,0.012,0,193,1.175,0,0,0
British Virgin Islands,Americas,6467,21387.704,112,370.407,0,62,205.047,0,0,0
Turks and Caicos Islands,Americas,6046,15615.476,51,131.722,0,36,92.98,0,0,0
American Samoa,Western Pacific,5999,10868.344,76,137.689,8,30,54.351,2,3.623,0
Sao Tome and Principe,Africa,5970,2724.05,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5600,10527.899,30,56.399,4,43,80.839,0,0,0
Cook Islands,Western Pacific,5390,30687.77,144,819.859,23,1,5.693,0,0,0
Palau,Western Pacific,4782,26431.572,92,508.512,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4518,45705.615,31,313.606,0,4,40.465,0,0,0
Kiribati,Western Pacific,3093,2589.39,4,3.349,0,13,10.883,0,0,0
Anguilla,Americas,2984,19890.681,196,1306.492,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,2739,47264.884,38,655.738,0,1,17.256,0,0,0
Sint Eustatius,Americas,924,29436.126,4,127.429,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Montserrat,Americas,653,13062.613,282,5641.128,0,2,40.008,0,0,0
Saba,Americas,575,29746.508,17,879.462,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Falkland Islands (Malvinas),Americas,392,11254.666,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,17,28.719,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,7,6.086,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
